资产总计 存货 股票价格 营业收入 总负债 营业税金及附加 盈余公积金 应付利息 流动资产 负债总计 利润总额 总股本 净利润 财务费用 无形资产 总资产 股东权益 资本公积 固定资产 销售费用 应收账款 杜邦分析 流动负债 未分配利润 递延所得税资产 实收资本（或股本） 评估分数 评估类别
21697930611.27 7524351650.72 10.8551035 3019591141.1 10913241239.7 18619262.56 1255367054.12 46829605.23 16417003728.61 10913241239.7 218126735.17 363306.6 155911027.83 83953609.63 635438354.77 21697930611.27 10784689371.57 155978522.09 2711166344.78 16570000.0 1471766641.15 1.23 6988550869.19 3703326881.3 679879210.25 3633066000.0 5.76 可疑
20600877384.71 7505162976.88 10.8551035 10203975366.68 9952398405.1 87813408.02 1255367054.12 105417633.52 15324499733.72 9952398405.1 800484768.17 363306.6 696712840.58 214179161.12 600497108.1 20600877384.71 10648478979.61 155978522.09 2734771325.19 77560000.0 1438654313.38 4.69 6039390778.47 3594309986.75 709390309.87 3633066000.0 10.79 健康
22027818353.34 5938002569.5 10.8551035 7093409419.03 11477482856.1 77188655.85 1177706655.16 63444703.25 16810619653.71 11477482856.1 769094414.72 363306.6 650017349.41 201075588.28 602593753.45 22027818353.34 10550335497.24 155978522.09 2634390053.81 56700000.0 1886109302.74 4.06 7519749667.57 3619749380.74 639015460.24 3633066000.0 8.71 可疑
18323847525.59 5097256799.83 10.8551035 4075379114.65 8251154728.15 45818082.85 1177706655.16 28262678.09 13316316705.8 8251154728.15 330890399.4 363306.6 220862274.38 99832590.02 584796482.77 18323847525.59 10072692797.44 155978522.09 2609592382.95 34920000.0 1244941522.02 1.33 5907670983.68 3382595228.27 609428205.58 3633066000.0 6.28 可疑
18020558893.28 5033278952.43 10.8551035 1929028735.21 8170220513.17 23477493.44 1177706655.16 3668296.23 12921033207.15 8170220513.17 127570951.79 363306.6 98139339.26 38392426.83 535915492.43 18020558893.28 9850338380.11 155978522.09 2674955725.35 16090000.0 1325521461.1 0.89 5839730876.42 3381425399.8 655250622.39 3633066000.0 5.6 可疑
22087639633.41 6727695835.03 13.41 8663501336.93 13187418879.13 77450469.95 366268959.37 15973787.19 12490601984.75 13187418879.13 615138504.74 141330.63 475442708.78 184356956.05 757093307.7 22087639633.41 8900220754.28 3035885953.85 5576876388.34 150000000.0 2502368882.11 4.77 11315358456.18 2166411155.61 531356584.82 1413306310.0 7.83 可疑
20406558685.28 5774663419.31 10.8551035 3414876117.39 11622292253.3 32604085.54 366268959.37 15353429.86 11037355725.67 11622292253.3 83411082.31 108715.87 51959317.93 114369424.2 765349206.36 20406558685.28 8784266431.98 3355273769.51 5461470426.73 64520000.0 1971344255.21 0.43 10202851606.67 2079886293.23 545435834.41 1087158700.0 2.91 危险
18850561139.82 5184882237.16 10.8551035 14188321857.01 10102845111.51 188459115.24 366268959.37 16467382.4 9742367805.18 10102845111.51 1190833465.62 108662.87 933995215.87 301230062.07 773253331.89 18850561139.82 8747716028.31 3349043975.17 5513687692.28 297000000.0 1937803582.25 9.24 8200721053.96 2049831420.54 514502856.49 1086628700.0 13.49 健康
18182788706.34 4860634087.3 10.8551035 10142363778.13 9614578523.26 142787480.01 333626075.91 14704265.58 9664554750.19 9614578523.26 1028140819.41 108157.4 829437228.37 213177674.77 696540965.36 18182788706.34 8568210183.08 3335878553.57 5274763489.99 192000000.0 1995437970.6 8.75 7712708742.5 2051646851.19 516885196.5 1086628700.0 12.7 健康
17427800237.41 4469094503.8 10.8551035 6180563649.83 9021460234.71 103871906.16 333626075.91 10588923.02 9157002576.44 9021460234.71 761802164.94 108157.4 624151035.86 120406195.4 706311842.21 17427800237.41 8406340002.7 3273973875.49 5320224931.82 118000000.0 1888001894.42 6.75 6754418546.37 1917140537.51 504469627.55 1081574000.0 10.5 健康
